Symbol,DataDate,OpenPrice,MaxPrice,MinPrice,ClosePrice,AvgPrice,Volume,TotalAmount
VNINDEX,2016-01-04,579.03,579.97,573.15,574.41,574.41,95922570.0,1582318000000.0
VNINDEX,2016-01-05,571.66,575.4,569.26,569.94,569.94,97988880.0,1438197000000.0
VNINDEX,2016-01-06,569.5,574.57,569.5,574.57,574.57,82276760.0,1320797000000.0
VNINDEX,2016-01-07,570.62,574.57,561.09,565.36,565.36,140605960.0,2114698000000.0
VNINDEX,2016-01-08,562.62,565.36,556.36,560.05,560.05,133647560.0,1763784000000.0
VNINDEX,2016-01-11,559.05,563.04,557.51,557.87,557.87,100385840.0,1382918000000.0
VNINDEX,2016-01-12,557.36,564.26,557.36,564.26,564.26,101930720.0,1371412000000.0
VNINDEX,2016-01-13,565.21,566.02,560.37,560.37,560.37,116471500.0,1503791000000.0
VNINDEX,2016-01-14,555.88,560.37,550.6,553.03,553.03,128667040.0,1697468000000.0
VNINDEX,2016-01-15,554.35,556.55,543.04,543.04,543.04,119024070.0,1498391000000.0
VNINDEX,2016-01-18,532.54,543.04,518.16,526.37,526.37,155144610.0,2247010000000.0
VNINDEX,2016-01-19,525.65,535.77,525.65,535.77,535.77,113131650.0,1376311000000.0
VNINDEX,2016-01-20,532.81,536.57,529.42,529.44,529.44,110083840.0,1375329000000.0
VNINDEX,2016-01-21,529.44,531.21,520.74,521.88,521.88,139630150.0,1646412000000.0
VNINDEX,2016-01-22,521.88,525.83,513.82,522.24,522.24,159187370.0,1869687000000.0
VNINDEX,2016-01-25,522.24,542.35,522.24,542.35,542.35,141524210.0,1837567000000.0
VNINDEX,2016-01-26,534.06,542.98,531.27,537.73,537.73,129402420.0,1571729000000.0
VNINDEX,2016-01-27,541.18,543.88,537.73,542.69,542.69,113827200.0,1543118000000.0
VNINDEX,2016-01-28,542.01,544.73,538.59,539.47,539.47,107366270.0,1501444000000.0
VNINDEX,2016-01-29,539.96,545.71,537.51,545.25,545.25,98745150.0,1438822000000.0
VNINDEX,2016-02-01,545.27,548.58,540.56,540.56,540.56,91510080.0,1437232000000.0
VNINDEX,2016-02-02,537.71,542.26,535.38,536.45,536.45,81857890.0,1052118000000.0
VNINDEX,2016-02-03,531.11,539.07,530.23,539.07,539.07,72465960.0,1062549000000.0
VNINDEX,2016-02-04,542.91,545.17,539.07,542.15,542.15,58991480.0,830895000000.0
VNINDEX,2016-02-05,540.64,545.54,540.64,544.75,544.75,58916520.0,869221000000.0
VNINDEX,2016-02-15,540.13,544.75,537.81,543.79,543.79,63715980.0,951708000000.0
VNINDEX,2016-02-16,545.72,548.89,543.79,548.05,548.05,101446430.0,1395995000000.0
VNINDEX,2016-02-17,551.38,552.38,547.05,547.05,547.05,108232660.0,1691525000000.0
VNINDEX,2016-02-18,550.51,555.05,547.05,552.49,552.49,105377340.0,1577691000000.0
VNINDEX,2016-02-19,552.37,555.16,551.38,554.03,554.03,176930260.0,2346947000000.0
VNINDEX,2016-02-22,555.31,561.44,554.03,560.71,560.71,146114330.0,2207237000000.0
VNINDEX,2016-02-23,564.75,567.58,560.71,561.28,561.28,151158600.0,2250943000000.0
VNINDEX,2016-02-24,559.48,569.7,557.77,568.04,568.04,150465440.0,2182756000000.0
VNINDEX,2016-02-25,571.15,573.63,562.82,562.82,562.82,128757360.0,1972087000000.0
VNINDEX,2016-02-26,565.61,566.8,562.39,566.11,566.11,96211200.0,1622890000000.0
VNINDEX,2016-02-29,565.61,566.31,559.37,559.37,559.37,116960700.0,1795656000000.0
VNINDEX,2016-03-01,560.03,565.65,559.37,561.56,561.56,115269170.0,1910218000000.0
VNINDEX,2016-03-02,564.85,570.18,561.56,570.18,570.18,140293270.0,2212837000000.0
VNINDEX,2016-03-03,573.06,573.88,569.39,570.39,570.39,121336150.0,1724601000000.0
VNINDEX,2016-03-04,570.18,576.02,568.83,573.65,573.65,131098660.0,1915640000000.0
